BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),ENERGYSTARScore,SiteEUIWN(kBtu/sf),GHGEmissionsIntensity,CategorieEnergie,ZipCode,TaxParcelId,LargestPropertyUseType
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1981,2,0,23600,82.0,35.59999847,0.23,Électricité,98109.0,19722,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1986,3,0,40067,43.0,57.5,0.4,Électricité,98109.0,19722,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1989,3,6922,19497,67.0,40.70000076,0.28,Électricité,98109.0,19722,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1979,3,0,25262,54.0,59.70000076,0.94,Électricité,98109.0,19722,Office
NonResidential,Other,lake union,1996,3,0,53103,,126.0,0.72,Électricité,98103.0,19722,Other
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1980,3,0,34106,57.0,54.5,0.33,Électricité,98109.0,19722,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1980,3,0,34545,29.0,67.0,0.47,Électricité,98109.0,19722,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1980,3,0,70296,86.0,42.90000153,0.28,Électricité,98109.0,19722,Office
NonResidential,Small- and Mid-Sized Office,downtown,1902,4,0,27838,77.0,45.40000153,0.3,Électricité,98104.0,52478,Office
NonResidential,Distribution Center,delridge,1971,2,0,28368,,43.20000076,1.06,Électricité,98106.0,19240,Distribution Center
NonResidential,Other,northwest,1964,2,0,92080,,58.29999924,1.38,Électricité & GazNaturel,98133.0,19260,Other
NonResidential,Other,northwest,1961,1,0,20236,,103.1999969,2.45,Électricité & GazNaturel,98133.0,19260,Other - Recreation
NonResidential,Small- and Mid-Sized Office,northwest,1951,2,0,39815,62.0,54.20000076,1.01,Électricité,98133.0,19260,Office
Nonresidential COS,Other,northwest,1970,4,0,25557,,89.19999695,0.62,Électricité,98133.0,19260,Residential Care Facility
Nonresidential COS,Other,northwest,1958,2,0,26994,,123.0,4.55,GazNaturel,98133.0,19260,Other - Services
NonResidential,Warehouse,northwest,1972,1,0,48112,73.0,30.39999962,0.22,Électricité,98133.0,19260,Non-Refrigerated Warehouse
NonResidential,Other,northwest,2009,1,0,20909,,68.09999847,1.57,Électricité & GazNaturel,98133.0,19260,Other - Public Services
NonResidential,Small- and Mid-Sized Office,northwest,2001,2,16518,26275,27.0,71.19999695,0.29,Électricité,98133.0,19260,Office
NonResidential,Other,northwest,2007,2,0,45000,,135.6999969,3.93,Électricité & GazNaturel,98133.0,19260,Other - Recreation
NonResidential,Retail Store,northwest,1998,1,0,26115,43.0,67.40000153,1.41,Électricité & GazNaturel,98133.0,19260,Retail Store
NonResidential,Worship Facility,northeast,1949,1,0,26033,78.0,44.70000076,1.74,GazNaturel,98105.0,19283,Worship Facility
NonResidential,K-12 School,magnolia / queen anne,2007,4,0,48660,82.0,42.79999924,1.27,GazNaturel & Électricité,98109.0,19293,K-12 School
NonResidential,Senior Care Community,magnolia / queen anne,1970,2,0,46539,73.0,120.0999985,3.88,GazNaturel & Électricité,98109.0,19293,Senior Care Community
NonResidential,Residence Hall,downtown,1909,4,0,29796,47.0,77.5,2.67,GazNaturel & Électricité,98121.0,19772,Residence Hall/Dormitory
NonResidential,Retail Store,downtown,1920,2,0,26400,36.0,46.90000153,0.65,Électricité,98121.0,19772,Retail Store
NonResidential,Small- and Mid-Sized Office,downtown,1918,3,0,38148,98.0,25.10000038,0.23,Électricité,98121.0,19772,Office
NonResidential,Mixed Use Property,lake union,1928,2,0,28800,,18.10000038,0.44,Électricité & GazNaturel,98109.0,19882,Non-Refrigerated Warehouse
NonResidential,Worship Facility,magnolia / queen anne,1955,5,0,31945,4.0,56.5,0.39,Électricité,98119.0,19892,Worship Facility
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1985,5,33055,52908,43.0,84.69999695,0.36,Électricité,98109.0,19892,Office
NonResidential,Retail Store,downtown,1900,4,0,34680,92.0,36.29999924,0.76,Électricité & GazNaturel,98101.0,19747,Retail Store
NonResidential,Worship Facility,downtown,1968,3,34510,40548,24.0,82.69999695,3.3,GazNaturel,98101.0,19757,Worship Facility
NonResidential,Retail Store,downtown,1915,1,0,36504,2.0,132.6000061,0.57,Électricité,98101.0,19757,Retail Store
NonResidential,Small- and Mid-Sized Office,downtown,1907,6,0,35200,8.0,85.19999695,0.59,Électricité,98101.0,19757,Office
NonResidential,Small- and Mid-Sized Office,downtown,1907,5,0,35840,83.0,48.09999847,1.35,GazNaturel & Électricité,98101.0,19757,Office
NonResidential,Other,downtown,1941,2,0,25920,60.0,58.40000153,0.36,Électricité,98101.0,19757,Bank Branch
NonResidential,Small- and Mid-Sized Office,downtown,1928,4,0,30525,17.0,137.8000031,2.41,Électricité,98101.0,19757,Office
NonResidential,Other,east,1964,4,0,49243,,162.3999939,2.06,Électricité,98101.0,19782,Other/Specialty Hospital
NonResidential,Other,east,1912,3,0,20411,,105.0999985,3.49,GazNaturel & Électricité,98104.0,19782,Social/Meeting Hall
NonResidential,Medical Office,east,1962,2,10285,20570,2.0,145.1000061,2.77,Électricité & GazNaturel,98122.0,19782,Medical Office
NonResidential,Small- and Mid-Sized Office,east,1910,3,0,73549,90.0,43.59999847,1.46,GazNaturel & Électricité,98122.0,19782,Office
NonResidential,Other,east,1988,5,11400,34380,,252.1000061,10.1,Vapeur & Électricité,98122.0,19782,Other - Education
NonResidential,Medical Office,east,1963,3,0,39115,42.0,76.80000305,1.53,Électricité,98114.0,19782,Medical Office
NonResidential,Other,east,1916,3,0,38038,,33.5,1.46,Vapeur & Électricité,98101.0,19792,Other - Entertainment/Public Assembly
NonResidential,Worship Facility,east,1962,3,0,37796,55.0,52.29999924,3.27,Vapeur & Électricité,98104.0,19792,Worship Facility
Nonresidential COS,Small- and Mid-Sized Office,ballard,1993,1,0,27744,,193.0,1.35,Électricité,98107.0,19822,Office
NonResidential,Warehouse,ballard,1960,1,0,36444,80.0,4.599999905,0.03,Électricité,98107.0,19822,Non-Refrigerated Warehouse
NonResidential,Warehouse,ballard,1950,1,0,27553,63.0,38.29999924,1.15,GazNaturel & Électricité,98107.0,19822,Non-Refrigerated Warehouse
NonResidential,Distribution Center,ballard,1951,1,0,57310,,24.39999962,0.61,Électricité & GazNaturel,98107.0,19822,Distribution Center
NonResidential,Mixed Use Property,lake union,1920,2,0,25920,,41.29999924,0.64,Électricité,98109.0,19832,Office
NonResidential,Restaurant,lake union,1919,3,0,40686,,53.79999924,1.79,GazNaturel & Électricité,98109.0,19832,Restaurant
NonResidential,Retail Store,lake union,1964,2,0,45271,57.0,64.30000305,1.83,GazNaturel & Électricité,98109.0,19832,Retail Store
NonResidential,Small- and Mid-Sized Office,lake union,1920,3,12180,16200,62.0,53.0,1.26,Électricité & GazNaturel,98109.0,19832,Office
NonResidential,Large Office,lake union,2009,5,0,508160,77.0,82.09999847,0.96,Électricité,98109.0,19832,Office
NonResidential,Small- and Mid-Sized Office,lake union,1926,3,0,26176,95.0,45.29999924,1.23,GazNaturel & Électricité,98109.0,19832,Office
NonResidential,Small- and Mid-Sized Office,lake union,1926,1,0,37740,1.0,197.8999939,1.95,Électricité,98109.0,19842,Office
Nonresidential COS,Other,magnolia / queen anne,1961,1,0,26000,,114.6999969,7.08,Électricité & Vapeur,98109.0,19852,Other
NonResidential,Worship Facility,magnolia / queen anne,2009,3,0,23241,66.0,34.0,0.89,Électricité & GazNaturel,98109.0,19852,Worship Facility
NonResidential,Other,magnolia / queen anne,1962,1,0,155795,,121.0,1.64,Électricité,98109.0,19852,Other
Nonresidential COS,Other,magnolia / queen anne,2002,1,0,21018,,85.09999847,1.17,Électricité,98109.0,19852,Other
Nonresidential COS,Other,magnolia / queen anne,1998,1,0,30533,,216.3000031,6.29,GazNaturel & Électricité,98109.0,19852,Museum
NonResidential,Other,magnolia / queen anne,1961,2,0,33971,,363.2999878,15.42,Électricité & GazNaturel,98109.0,19852,Other - Recreation
Nonresidential COS,Other,magnolia / queen anne,1992,2,0,40600,,56.0,1.01,Électricité,98109.0,19852,Other
NonResidential,Small- and Mid-Sized Office,lake union,1999,4,0,38038,84.0,53.59999847,0.37,Électricité,98109.0,19862,Office
NonResidential,Small- and Mid-Sized Office,lake union,2007,4,24596,40000,92.0,65.90000153,1.2,GazNaturel & Électricité,98109.0,19862,Office
NonResidential,Small- and Mid-Sized Office,lake union,1928,3,6062,35404,1.0,228.3999939,5.64,Électricité & GazNaturel,98109.0,19862,Office
NonResidential,Large Office,lake union,2013,6,100800,29910,92.0,56.79999924,0.66,Électricité,98109.0,19862,Office
NonResidential,Small- and Mid-Sized Office,lake union,1926,4,0,35780,77.0,64.80000305,0.37,Électricité,98109.0,19862,Office
NonResidential,Mixed Use Property,magnolia / queen anne,1964,4,7308,17824,41.0,57.70000076,0.16,Électricité,98109.0,19882,Office
Nonresidential COS,Other,downtown,1966,1,0,49680,,58.20000076,2.4,Vapeur & Électricité,98109.0,19882,Other
Nonresidential COS,Other,downtown,1962,1,0,36314,,51.90000153,1.22,Mixte,98109.0,19882,Other
NonResidential,Other,downtown,1916,2,0,25920,,60.79999924,0.34,Électricité,98101.0,19757,Other - Entertainment/Public Assembly
NonResidential,Small- and Mid-Sized Office,downtown,1919,4,0,47686,72.0,65.40000153,1.62,Électricité & Vapeur,98101.0,19757,Office
Campus,Mixed Use Property,downtown,1900,2,0,49280,,111.0,1.99,Électricité,98101.0,19762,Retail Store
Campus,Low-Rise Multifamily,downtown,1942,4,0,45500,,85.19999695,0.58,Électricité,98101.0,19762,Multifamily Housing
Campus,Restaurant,downtown,1912,2,0,25380,,270.6000061,8.62,GazNaturel & Électricité,98101.0,19762,Restaurant
NonResidential,Small- and Mid-Sized Office,downtown,1915,6,0,40715,,70.69999695,1.1,Électricité,98101.0,19762,Office
NonResidential,Mixed Use Property,downtown,1990,4,34800,47265,91.0,43.79999924,0.15,Électricité,98121.0,19772,Parking
NonResidential,Small- and Mid-Sized Office,downtown,1910,4,0,36160,47.0,53.20000076,0.36,Électricité,98101.0,19772,Office
NonResidential,Mixed Use Property,downtown,1918,1,0,34617,,148.0,4.14,Électricité & GazNaturel,98101.0,19772,Other - Restaurant/Bar
NonResidential,Small- and Mid-Sized Office,downtown,1909,5,0,66900,100.0,24.0,0.21,Électricité,98121.0,19772,Office
NonResidential,Mixed Use Property,downtown,1910,3,0,29340,,87.30000305,2.59,GazNaturel & Électricité,98121.0,19772,Office
NonResidential,Other,downtown,1930,2,0,22710,,12.69999981,0.09,Électricité,98121.0,19772,Food Service
NonResidential,Small- and Mid-Sized Office,lake union,2000,3,13540,36959,13.0,86.69999695,0.44,Électricité,98102.0,20250,Office
NonResidential,Small- and Mid-Sized Office,lake union,1964,5,9605,44860,68.0,63.09999847,0.76,Électricité,98104.0,20250,Office
NonResidential,K-12 School,east,1930,2,0,45960,56.0,102.5,3.98,GazNaturel,98102.0,20250,K-12 School
NonResidential,Small- and Mid-Sized Office,lake union,1959,2,0,21128,97.0,20.70000076,0.14,Électricité,98109.0,19912,Office
NonResidential,Mixed Use Property,lake union,2008,4,0,274442,,56.29999924,0.8,Électricité & GazNaturel,98109.0,19912,Hotel
NonResidential,Small- and Mid-Sized Office,lake union,2013,3,0,51552,,28.10000038,0.21,Électricité,98109.0,19912,Office
NonResidential,Hotel,lake union,1959,4,0,38520,37.0,74.69999695,1.95,Électricité & GazNaturel,98109.0,19912,Hotel
NonResidential,Hotel,lake union,1961,3,4256,24930,95.0,45.59999847,1.04,GazNaturel & Électricité,98109.0,19912,Hotel
NonResidential,Worship Facility,lake union,1960,1,0,27338,56.0,25.0,0.15,Électricité,98109.0,19912,Worship Facility
NonResidential,Other,east,1999,2,65640,20110,,113.9000015,0.91,GazNaturel & Électricité,98102.0,20250,Parking
NonResidential,Laboratory,magnolia / queen anne,1962,2,0,34416,,363.6000061,12.27,GazNaturel & Électricité,98119.0,19922,Laboratory
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1930,3,0,45864,94.0,66.19999695,2.52,GazNaturel,98119.0,19922,Office
NonResidential,K-12 School,northwest,1999,2,0,49252,23.0,63.40000153,2.13,GazNaturel & Électricité,98125.0,20260,K-12 School
NonResidential,Small- and Mid-Sized Office,lake union,1987,3,0,33176,89.0,45.59999847,1.08,Électricité & GazNaturel,98102.0,21077,Office
NonResidential,Retail Store,lake union,1993,3,3764,21430,,92.40000153,2.22,Électricité & GazNaturel,98102.0,21077,Retail Store
NonResidential,Worship Facility,greater duwamish,1977,99,0,21948,80.0,14.89999962,0.1,Électricité,98108.0,21240,Worship Facility
NonResidential,Other,east,1927,3,0,31191,,192.8000031,5.39,Électricité & GazNaturel,98112.0,21250,Other - Recreation
NonResidential,Other,north,1947,1,0,37377,,98.69999695,2.99,GazNaturel & Électricité,98125.0,21260,"Repair Services (Vehicle, Shoe, Locksmith, etc)"
NonResidential,Warehouse,greater duwamish,1977,1,0,29380,33.0,29.89999962,0.2,Électricité,98108.0,21362,Non-Refrigerated Warehouse
NonResidential,Worship Facility,east,1922,2,0,22688,87.0,17.29999924,0.31,Électricité & GazNaturel,98122.0,21976,Worship Facility
NonResidential,Other,southeast,1962,2,0,22364,,72.69999695,2.43,GazNaturel & Électricité,98118.0,22240,Adult Education
NonResidential,Small- and Mid-Sized Office,greater duwamish,1982,2,0,41262,84.0,49.09999847,0.32,Électricité,98118.0,22240,Office
NonResidential,Small- and Mid-Sized Office,lake union,1953,2,0,43183,,199.3000031,2.14,Électricité,98109.0,19912,Office
NonResidential,Worship Facility,north,1908,3,0,45680,79.0,52.40000153,1.9,GazNaturel,98115.0,24644,Worship Facility
NonResidential,Senior Care Community,lake union,2006,14,0,724148,8.0,53.90000153,1.26,Électricité & GazNaturel,98109.0,24684,Senior Care Community
NonResidential,Worship Facility,southwest,1957,1,0,23562,96.0,15.89999962,0.16,Électricité,98106.0,24922,Worship Facility
NonResidential,Small- and Mid-Sized Office,ballard,1999,4,0,28844,,47.5,0.22,Électricité,98107.0,25160,Office
NonResidential,Warehouse,greater duwamish,1989,1,0,21101,,38.79999924,1.33,GazNaturel,98108.0,20240,Non-Refrigerated Warehouse
NonResidential,Refrigerated Warehouse,greater duwamish,1914,2,0,45594,75.0,29.20000076,0.21,Électricité,98108.0,20240,Refrigerated Warehouse
NonResidential,Other,greater duwamish,1950,1,0,26660,,84.09999847,0.59,Électricité,98108.0,20240,Manufacturing/Industrial Plant
NonResidential,Warehouse,greater duwamish,1975,1,0,28126,44.0,34.40000153,0.66,Électricité & GazNaturel,98108.0,20240,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1964,1,0,35000,53.0,10.80000019,0.08,Électricité,98108.0,20240,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1962,1,0,26150,6.0,50.59999847,1.02,Électricité & GazNaturel,98108.0,20240,Non-Refrigerated Warehouse
NonResidential,Small- and Mid-Sized Office,greater duwamish,1967,2,0,24000,73.0,47.90000153,0.32,Électricité,98108.0,20240,Office
NonResidential,K-12 School,east,1968,5,0,43594,38.0,66.19999695,1.68,Électricité & GazNaturel,98102.0,20250,K-12 School
NonResidential,Distribution Center,lake union,1912,1,0,28080,,31.79999924,0.66,Électricité & GazNaturel,98103.0,22939,Distribution Center
NonResidential,Senior Care Community,northwest,1954,2,0,51298,85.0,114.0,3.97,GazNaturel & Électricité,98133.0,24260,Senior Care Community
NonResidential,Worship Facility,northwest,1962,1,0,22047,100.0,11.89999962,0.08,Électricité,98133.0,24260,Worship Facility
NonResidential,Warehouse,greater duwamish,1979,1,0,31600,3.0,118.0999985,3.27,GazNaturel & Électricité,98108.0,24337,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,2007,1,0,35289,63.0,28.60000038,0.68,Électricité & GazNaturel,98108.0,24337,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1981,1,0,28920,50.0,68.5,2.77,GazNaturel,98108.0,24337,Non-Refrigerated Warehouse
NonResidential,Warehouse,greater duwamish,1978,1,0,22176,60.0,33.70000076,1.48,GazNaturel,98108.0,24337,Non-Refrigerated Warehouse
NonResidential,Small- and Mid-Sized Office,north,1974,3,0,39927,38.0,96.90000153,0.62,Électricité,98125.0,24349,Office
NonResidential,Other,north,1979,1,0,30610,,147.5,4.44,GazNaturel & Électricité,98115.0,24349,Other - Recreation
NonResidential,Medical Office,north,1980,2,6350,20580,64.0,37.20000076,0.26,Électricité,98115.0,24349,Medical Office
NonResidential,Medical Office,north,1968,2,0,38745,76.0,47.20000076,1.28,Électricité,98115.0,24349,Medical Office
NonResidential,Self-Storage Facility,northeast,1959,2,0,20296,,42.20000076,0.29,Électricité,98105.0,24362,Self-Storage Facility
NonResidential,Mixed Use Property,northeast,1945,2,0,22135,,59.5,1.24,Électricité & GazNaturel,98105.0,24362,Medical Office
NonResidential,Medical Office,northeast,1967,3,0,38378,86.0,51.5,1.4,GazNaturel & Électricité,98105.0,24362,Medical Office
NonResidential,Warehouse,northeast,1980,2,0,33576,64.0,43.70000076,1.48,GazNaturel & Électricité,98105.0,24372,Non-Refrigerated Warehouse
NonResidential,Supermarket / Grocery Store,northeast,1975,1,0,33005,21.0,309.3999939,6.84,Électricité & GazNaturel,98105.0,24372,Supermarket/Grocery Store
NonResidential,Other,east,1981,1,0,20971,,33.29999924,0.24,Électricité,98104.0,25603,Parking
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1927,3,0,23910,,38.09999847,0.63,Électricité,98199.0,22250,Office
NonResidential,Worship Facility,ballard,1910,2,0,21765,80.0,22.89999962,0.8,GazNaturel,98107.0,27676,Worship Facility
Campus,University,east,1939,2,0,2200000,,71.59999847,1.47,Électricité & GazNaturel,98122.0,22545,College/University
NonResidential,Worship Facility,central,1901,2,0,26560,1.0,69.0,2.44,GazNaturel & Électricité,98122.0,22545,Worship Facility
NonResidential,Warehouse,lake union,1957,2,0,20140,49.0,5.800000191,0.04,Électricité,98103.0,22645,Non-Refrigerated Warehouse
NonResidential,Retail Store,greater duwamish,1992,2,0,38845,82.0,178.1000061,5.55,GazNaturel & Électricité,98118.0,27240,Retail Store
NonResidential,Supermarket / Grocery Store,greater duwamish,1953,1,0,26092,40.0,311.1000061,6.66,Électricité & GazNaturel,98118.0,27240,Supermarket/Grocery Store
NonResidential,Small- and Mid-Sized Office,greater duwamish,1967,1,0,25500,98.0,56.09999847,2.17,GazNaturel,98108.0,27381,Office
NonResidential,Warehouse,greater duwamish,1961,1,0,41895,,33.5,0.6,Électricité,98108.0,27381,Non-Refrigerated Warehouse
NonResidential,Retail Store,greater duwamish,1958,2,0,56193,,45.90000153,0.83,Électricité,98108.0,27381,Retail Store
NonResidential,K-12 School,ballard,1922,3,0,35448,97.0,46.0,1.7,GazNaturel,98107.0,27679,K-12 School
NonResidential,Supermarket / Grocery Store,ballard,1966,1,0,29214,8.0,327.2000122,7.14,Électricité & GazNaturel,98107.0,27681,Supermarket/Grocery Store
NonResidential,Supermarket / Grocery Store,ballard,2000,1,43035,46068,34.0,307.7000122,4.32,Électricité & GazNaturel,98107.0,27683,Supermarket/Grocery Store
NonResidential,Other,ballard,1961,1,0,32000,,44.20000076,1.42,GazNaturel & Électricité,98125.0,27683,Other - Recreation
NonResidential,Mixed Use Property,ballard,1910,2,0,31140,,35.70000076,1.25,GazNaturel,98107.0,27683,Other
NonResidential,Warehouse,ballard,1975,3,0,41478,3.0,79.30000305,1.89,Électricité & GazNaturel,98107.0,27683,Non-Refrigerated Warehouse
NonResidential,Warehouse,ballard,1980,1,0,39840,2.0,19.39999962,0.13,Électricité,98107.0,27683,Non-Refrigerated Warehouse
Nonresidential COS,Other,ballard,2004,1,15576,15000,,90.69999695,1.26,Électricité & GazNaturel,98107.0,27677,Library
NonResidential,Other,ballard,1924,2,0,21528,,15.30000019,0.31,Électricité & GazNaturel,98107.0,27677,Social/Meeting Hall
NonResidential,Other,ballard,1928,2,0,30000,,43.20000076,0.44,Électricité,98107.0,27677,Strip Mall
NonResidential,Other,ballard,1942,2,0,30087,,170.3999939,1.22,Électricité,98107.0,27677,Other
NonResidential,Worship Facility,ballard,1975,1,0,40445,92.0,22.5,0.72,GazNaturel & Électricité,98107.0,27683,Worship Facility
NonResidential,Retail Store,ballard,1996,1,0,23500,53.0,48.90000153,0.57,Électricité,98107.0,27683,Retail Store
NonResidential,Retail Store,ballard,1967,1,0,22420,82.0,66.09999847,1.42,Électricité & GazNaturel,98134.0,27696,Retail Store
NonResidential,Supermarket / Grocery Store,magnolia / queen anne,1961,1,0,25842,35.0,336.6000061,9.19,Électricité & GazNaturel,98119.0,27706,Supermarket/Grocery Store
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1992,3,0,26389,,45.0,0.32,Électricité,98119.0,27706,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1982,3,0,25859,88.0,35.40000153,0.58,Électricité,98119.0,27706,Office
NonResidential,Warehouse,magnolia / queen anne,1974,1,0,25600,1.0,75.90000153,1.34,Électricité,98199.0,27716,Non-Refrigerated Warehouse
NonResidential,Other,magnolia / queen anne,1965,1,0,23169,,21.79999924,0.07,Électricité,98199.0,27716,Manufacturing/Industrial Plant
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,2008,4,8399,33385,89.0,38.79999924,0.22,Électricité,98199.0,27716,Office
NonResidential,Warehouse,magnolia / queen anne,1960,1,0,56884,71.0,27.70000076,0.66,Électricité & GazNaturel,98199.0,27716,Non-Refrigerated Warehouse
NonResidential,Retail Store,ballard,1989,1,0,32810,66.0,66.09999847,1.42,Électricité & GazNaturel,98117.0,27766,Retail Store
NonResidential,Self-Storage Facility,magnolia / queen anne,1980,3,0,30989,,3.200000048,0.02,Électricité,98119.0,27706,Self-Storage Facility
NonResidential,Self-Storage Facility,magnolia / queen anne,1915,3,0,39952,,1.5,0.01,Électricité,98119.0,27706,Self-Storage Facility
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1961,2,0,20022,80.0,33.09999847,0.23,Électricité,98119.0,27706,Office
NonResidential,Distribution Center,magnolia / queen anne,1960,2,0,36498,89.0,17.0,0.41,Électricité & GazNaturel,98119.0,27706,Distribution Center
NonResidential,Distribution Center,magnolia / queen anne,1968,1,0,35946,,14.0,0.31,Électricité & GazNaturel,98199.0,27706,Distribution Center
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,2007,4,5680,24472,96.0,33.59999847,0.2,Électricité,98199.0,27706,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1979,4,0,22365,71.0,33.59999847,0.23,Électricité,98199.0,27711,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1994,4,0,30172,82.0,32.09999847,0.21,Électricité,98199.0,27711,Office
NonResidential,Warehouse,ballard,1927,4,0,42500,100.0,5.5,0.04,Électricité,98107.0,27677,Non-Refrigerated Warehouse
NonResidential,Small- and Mid-Sized Office,ballard,1901,4,0,23032,,55.29999924,0.34,Électricité,98107.0,27677,Office
NonResidential,Other,ballard,1900,3,4914,40836,,175.8999939,6.64,GazNaturel,98107.0,27677,Other
NonResidential,Small- and Mid-Sized Office,ballard,1968,2,0,23500,26.0,74.30000305,1.47,Électricité,98107.0,27677,Office
NonResidential,Small- and Mid-Sized Office,ballard,1966,1,0,22282,93.0,29.89999962,0.75,Électricité & GazNaturel,98107.0,27677,Office
NonResidential,Self-Storage Facility,ballard,1902,2,0,24000,,25.0,0.72,GazNaturel & Électricité,98107.0,27677,Self-Storage Facility
NonResidential,Mixed Use Property,ballard,1909,3,0,27085,,79.40000153,2.24,GazNaturel & Électricité,98107.0,27677,Strip Mall
Nonresidential COS,Other,north,1996,2,0,29258,,247.3999939,10.57,GazNaturel & Électricité,98125.0,28260,Other - Recreation
NonResidential,Small- and Mid-Sized Office,north,1931,2,0,37500,58.0,65.30000305,1.18,Électricité,98125.0,28260,Office
NonResidential,K-12 School,northwest,1930,3,0,23983,61.0,53.0,1.39,Électricité & GazNaturel,98125.0,28321,K-12 School
NonResidential,Distribution Center,delridge,1980,1,0,24100,22.0,39.79999924,1.27,GazNaturel & Électricité,98106.0,28402,Distribution Center
NonResidential,K-12 School,northeast,2004,2,0,31343,5.0,83.0,4.1,GazNaturel & Électricité,98105.0,28621,K-12 School
NonResidential,Mixed Use Property,northwest,1996,3,22850,33062,,74.09999847,0.31,Électricité,98103.0,28862,Parking
NonResidential,Other,magnolia / queen anne,1957,2,0,20294,,90.90000153,3.32,GazNaturel & Électricité,98199.0,27711,Other
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1983,4,10849,29722,64.0,53.59999847,0.22,Électricité,98199.0,27711,Office
NonResidential,Small- and Mid-Sized Office,magnolia / queen anne,1983,4,15659,26048,78.0,42.79999924,0.29,Électricité,98199.0,27711,Office
NonResidential,Mixed Use Property,magnolia / queen anne,1960,2,0,57644,,41.70000076,0.74,Électricité,98119.0,27711,Office
NonResidential,Warehouse,magnolia / queen anne,1955,2,0,39497,9.0,45.79999924,0.72,Électricité,98119.0,27711,Non-Refrigerated Warehouse
Nonresidential COS,Other,east,1932,1,0,33087,,73.40000153,3.68,GazNaturel & Électricité,98112.0,29250,Other - Entertainment/Public Assembly
NonResidential,Small- and Mid-Sized Office,northwest,1982,2,0,27574,73.0,45.09999847,0.31,Électricité,98133.0,29260,Office
NonResidential,Senior Care Community,north,1998,5,0,43661,4.0,94.90000153,1.89,Électricité & GazNaturel,98125.0,29260,Senior Care Community
NonResidential,Small- and Mid-Sized Office,northwest,1987,3,27307,48798,91.0,34.09999847,0.23,Électricité,98133.0,29260,Office
NonResidential,Mixed Use Property,north,1952,2,0,32009,,58.40000153,1.38,Électricité & GazNaturel,98125.0,29260,Non-Refrigerated Warehouse
NonResidential,Medical Office,north,1988,3,0,28841,55.0,52.90000153,1.16,Électricité & GazNaturel,98125.0,29260,Medical Office
NonResidential,Self-Storage Facility,north,1977,2,0,33344,,4.0,0.03,Électricité,98125.0,29260,Self-Storage Facility
Nonresidential COS,Other,north,2005,1,0,30498,,87.0,2.63,GazNaturel & Électricité,98125.0,29260,Other - Recreation
NonResidential,K-12 School,delridge,1924,2,0,42975,92.0,52.5,1.0,GazNaturel,98106.0,30048,K-12 School
NonResidential,Other,delridge,1963,1,0,23260,,77.5,2.25,GazNaturel & Électricité,98108.0,30240,"Repair Services (Vehicle, Shoe, Locksmith, etc)"
NonResidential,Small- and Mid-Sized Office,delridge,1988,2,0,30659,88.0,78.09999847,1.82,Électricité & GazNaturel,98106.0,30240,Office
NonResidential,Other,magnolia / queen anne,1920,2,0,27144,,41.90000153,1.2,GazNaturel & Électricité,98109.0,30250,Other
NonResidential,Other,northwest,1970,1,0,23166,,157.5,7.97,GazNaturel,98133.0,30260,Other
NonResidential,Medical Office,northwest,1979,2,0,34759,81.0,36.59999847,0.33,Électricité,98133.0,30260,Medical Office
NonResidential,Hospital,northwest,1966,1,0,415632,85.0,207.5,7.89,GazNaturel & Électricité,98133.0,30260,Hospital (General Medical & Surgical)
NonResidential,Worship Facility,northwest,1965,2,0,44719,,37.20000076,1.19,GazNaturel & Électricité,98133.0,30342,Worship Facility
NonResidential,Supermarket / Grocery Store,greater duwamish,1965,1,0,21603,16.0,274.3999939,6.01,Électricité & GazNaturel,98144.0,30860,Supermarket/Grocery Store
NonResidential,Medical Office,east,1964,3,0,591981,60.0,175.6999969,5.47,GazNaturel & Électricité,98112.0,31170,Medical Office
NonResidential,Distribution Center,delridge,1979,1,0,42900,53.0,10.69999981,0.07,Électricité,98108.0,31240,Distribution Center
